sentiments,cleaned_review,cleaned_review_length,review_score
positive,very nice use it for day to day duties not for gaming works very well ,15,5.0
positive,been using this keyboard for more than week now not gamer but was looking for good wireless keyboard that will relax my fingers thank goodness found this keyboard it wide quiet key pressed except for spacebar and very comfortable to use ,41,5.0
neutral,i use only writing any way good ,7,1.0
positive,so pretty so silent love this keyboard it compact no annoying handrest loving it ,14,5.0
neutral,bloody good buy,3,5.0
positive,very good makes typing so easy and not noise,9,5.0
positive,used for gaming colours could be little bit brighter on the keyboard overall good product ,15,5.0
negative,i mean come on do you even have qa team did anyone try and use this thing can use ctrl shift together useless garbage how did this thing get such high rating beyond disappointed ,34,5.0
positive,my son loves this keyboard,5,5.0
neutral,bluetooth keyboard,2,5.0
neutral,the battery is terribleeven without the light im not able to last day without recharge just after monthit stop working randomly in middle of gamevery frustratingthe battery does not even lastt day,32,2.0
neutral,was little disappointed that there was no way to keep the lights on longer seconds just isn long enough for me give us the option to be able to keep the lights on all the time it just looks better also the lights aren very bright other than that its nice keyboard but not sure if ill be keeping it ,60,3.0
positive,i really impressed with the klim chroma wireless keyboard it very easy to type on feels comfortable the colors are gorgeous and it was effortless to start using it klim definitely has my attention and very happy with their products the second product have along with the ultimate laptop cooling fan and just waiting for the rhapsody microphone to arrive quality and worth every penny and their customer service is which is the cherry on the top vivien and adrien are excellent at their customer service jobs thanks klim and please keep up the excellent integrity sincerely ca mackinnonmontreal quebec canada,101,5.0
positive,wonderful product best key board have ever used dont spend hundreds of on other ones ,15,5.0
positive,work very good fast with good lighting on it very good product,12,4.0
positive,overall this is very well priced keyboard and perfect for someone on budget my only issues was that the key press took abit of getting used to and the travel was tad too shallow for my personal liking function and feature wise no complaints at all ,46,5.0
positive,very happy wireless receiver plugged straight into the usb port on the ps and works wonderfully very happy,18,3.0
positive,so lovely like the it so much can wait to open up ,12,5.0
positive,this keyboard is very good for its price works well battery has decent duration type hours per day and it lasts around days with one charge ,26,1.0
positive,great item sadly the key caps are not customisable but still good quality and feels sturdy ,16,5.0
neutral,i press one key the backlight turns on and then can press another key until the backlight turns off ,19,4.0
negative,not bad for the money but keys are very stiff and not ideal for typing prolong use will cause finger and wrist pain wanting to find quieter alternative for my razer mechanical keyboard but this one does not cut it it is quiet though ,44,1.0
neutral,the first one they sent me was defective out of the box klim was good enough to just send me replacement obviously this must be common issue the keyboard misses when am in the flow of typing consequently keep typing passwords incorrectly to the point have to type them in notepad then copy and paste to ensure don get accounts locked or make error after error and have to type extremely slow to ensure each key is picked up the keyboard is unreliable don buy it full stop bought the keyboard in august black friday is tomorrow so this keyboard is getting replaced ,103,5.0
positive,battery runs out in hrs after using it for less than months the shift key doesn work anymore some number keys are not responding intermittently unstable wireless connection caught with the good reviews ,33,5.0
positive,this product is good for its price the set up was very quick for tech savvy like myself it was easy to figure out its settings and such however when was trying out keyboards shortcuts such as ctrl or ctrl on windows cmd or cmd for macos it wasn working with this keyboard you have to click windows button fn or whatever shortcut you have to pressed to enable its function it took me awhile by pressing random buttons haha hope this helps other consumers ,85,5.0
positive,it great but being smaller makes it easy for larger fingers to hit the wrong key works great and looks great and the extra features are cool ,27,1.0
positive,great unit feels sturdy keys are soft and quiet and feel much better than my previous one thin logitech wireless bit disappointed that can change the led colors wanted to customize it and turns out rainbow is the only option ,40,5.0
negative,reasonably priced and beautiful chroma lighting effects on keyboard the keyboard is indeed silent but somehow the lack of tactile feedback sometimes makes one wonder if the keys had been depressed correctly ,32,5.0
positive,worked fine for month won work after ,7,5.0
positive,ctrl shift anything do not work can even mute properly had to map shift to my mouse bit of joke feels cheap just with led to backlight it update after months the windows key stopped working awesome ,37,2.0
positive,update one of the keyboards was dropped once and the spacebar ceased to function that was total loss the other one bought lasted years and worked great during that time then the spacebar also stopped working was not dropped paid for it and it now so opted for different model this time and like it very much it asin bmqhh if you want to search it previous review not sure if this is really gaming keyboard but needed something that lights up when all my lights are out this does the job do wish it ran on batteries but hopefully the charging connector won poop out on me one charge lasted quite while my favorite part of this keyboard is the light noise the keys make the spacebar is bit noisier but the rest of the buttons have pleasant tapping sound without being very clacky like some gaming keyboards waited about months for prices to go down and ordered to of these by accident when found the deal keeping both ,170,5.0
positive,space bar is bit sticky for gaming but it pretty good for it price,14,4.0
positive,very functional and estetically pleasing very quick wireless connection even via kvm only con is that it doesn sense and light up when your fingers approach kb like the logitech k,31,5.0
positive,excellent keyboard,2,5.0
positive,i purchased of these and they both worked great for month after month one the keys stopped working and the other stopped charging correctly spend bit more money and get something better ,32,5.0
neutral,it not working lato problem typing,6,4.0
neutral,keys are smooth and with quick response when typing ,9,5.0
positive,it is really what needed it is wireless so no more wires around my busy desktop love the background lights which makes it little different from boring black keyboards and also since it is my second keyboard for my second computer in the same desktop so really needed it to be colored differently was initially concerned about battery life but have only charged it once so far and that was more than weeks ago didn use it heavily but thought it will last max for week nice like it very much and suggest it to others ,96,5.0
positive,delivery was fantastic on time to collection point near my place arrived in days singapore also appreciate delivery updates via telegram ninjabot prompt the keyboard is brightly lit keys are responsive works like dream setup usb was without hitch as well packaging was good gee there were even nice stickers given and nice welcome note from the company looks like they take pride in their work awesome def good buy don see why any should spend more money on big brand names ,82,4.0
neutral,its great my only complaint is that it doesn warn you if the battery is low,16,5.0
positive,the product is great of course the keys feel great although definitely not on par with my razor but it light weight and convenience is what makes it perfect for my ps great product ,34,1.0
neutral,the keyboard is good and works seamlessly with my apple mac,11,5.0
positive,its super simple easy and fast to use if you want something wireless that good full sized keyboard but simply don have the budget to pay for the more expensive ones then this is the keyboard for you ,38,5.0
neutral,keys bit small for handicapped dislike the illumination cutting off when in dark environment nice in all other respects,19,4.0
positive,all is great could be little bigger,7,5.0
neutral,nice keyboard unfortunately does not work well with xbox one input lag when using on xbox makes it unusable ,19,3.0
neutral,keyboard over all is ok space bar sucks as it only works dead center and is very clicky did not want wireless unit but when you change to jet black you don get any choice it just shows up that way even though in black it is wired beware,49,5.0
negative,i bought these to replace my old cheap headphones tried these on and they sounded worse than my old ones also no returns allowed disappointing ,25,2.0
positive,this headset is very affordable and has great quality sound ,10,5.0
neutral,the muting function doesn work my dnd co players constantly tell me cut out so the mic also doesn work the speakers are okay but the rest is junk would return but the window has closed please don buy these ,40,1.0
neutral,for the price you re getting something better than most other expensive headsets do want to say that the people who can get the mic to work need to stop using the splitter that thing is for older tower pc that use pair of ports one for the output and one for the input can use these on my laptop pc and use the mic fine without the splitter ,69,5.0
negative,bought these for gaming worst thing ever bought can barely hear anything even with the volume turned all the way up don waste your money or time with this junk ,30,1.0
negative,the sound is decent but the microphone does not work at all fix your crap frustrating and returning never again will buy this ,23,1.0
positive,i wanted cheapish head set for my bf at the time and saw this and figured ok why not the cord is super long so you can sit anywhere in the room you re playing in and have good reach on wire it sounds good and works good ,48,5.0
neutral,ordered for my son they didn last but week or so one side stopped working after about week ,18,4.0
positive,very nice headphones kids use them for gaming as well as headphones for their ipads great sound quality ,18,5.0
neutral,they are not compatible with xbox and therefore advertising falsely don care that they work with an adapter not included any headphones work with an adapter therefore false advertising ,29,1.0
positive,after few months the connecter is picky if it wants to work or not was great when it worked perfectly but with unplugging and plugging in it has gotten weak and no longer likes to work would recommend if you don have kids that like to play with your gaming set up lmao,53,4.0
neutral,mic tends to go in and out on occasion,9,4.0
neutral,they do not work with an box one you have to buy adapter for them to work false advertising,19,1.0
positive,thought these were good deal volume out works great however the mic is an out of box failure no one can hear me at all tried on pc and xbox my old headset the cord was chewed in half by our cat held the wires together on our old set and people could hear me better than with this set do not buy ,63,1.0
negative,noticed that after long period of wear the outside of my ears start to hurt ,15,4.0
neutral,cord way too short sound comes and goes sad,9,1.0
neutral,not great headset but probably good for somebody trying to get started with gaming ,14,3.0
positive,good sound good headphones,4,5.0
positive,high quality great comfort glows as shown buy it ,9,5.0
neutral,i just got in today happy to start gaming with it the mic you can talk it static not is worth getting it just better off get dollars mic regret getting it but sound it good but everything else is bad,41,1.0
positive,fantastic,1,5.0
negative,my input on discord comes out muffled and teammates cant hear me hear them fine but mic seem to be bad quality ,22,1.0
positive,my rd time buying one works for all consoles and pc best mic out there for the price works great,20,5.0
neutral,i bought this headset months ago and from day one it has weird staticky noise now you can hear from it at all this product sucks never buying anything from them again waist of money ,35,1.0
positive,great for online gaming and seems like the headset is built very well ,13,5.0
neutral,i ordered the head blue cheaper set of head phones with mic the mic does not work for my ps even ordered second one because thought my first set was broken just junk guess,34,1.0
positive,this is headset at best not what expected question the reviews ,11,3.0
neutral,the usb only works for the lights not for connecting the device to your computer ,15,3.0
positive,i recently bought this for my son it perfect we ve had issues with soo many head sets being cheap quality this one is must love the color options as well his favorite color is orange so he loving this please order if you are considering buying one ,48,5.0
positive,so far so good,4,5.0
neutral,this item popped up for results what compatible for ps and this is not,14,1.0
neutral,this headset works alright for being made of cheap feeling and looking plastic it does the job but the sound quality is not good and there practically no noise cancellation it also only lights up when its plugged in highly suggest saving your money and getting better quality headset ,49,2.0
neutral,doesn work with my pc yet other headphones or mics do ,11,1.0
neutral,this is good head set if you need something quick and cheap for gaming have kids ranging from to and if the younger ones get ahold of them don expect them to last very long they are cheap enough that just get new pair when they stop working they work well but are no bose headset ,56,3.0
positive,grandson loves them,3,5.0
neutral,you are not going to find better headset for the money can hear someone sneaking up on my on cod but can hear my wife talking to me from the kitchen ,31,5.0
positive,works really good when you playing call of duty or division to love this item this is the second pair ve bought one for me and one for my friend,30,5.0
positive,a gift but he loved it,6,5.0
positive,i bought these back in may it is now october and they re dead they were great good sound good mic then they just up and died well past my return window of course that what get for trying to save money ,42,1.0
negative,i don know if mine have factory defect or something but is not loud at all nearly hear anything from the left side it waste of money to me ,29,1.0
positive,gaming for fun,3,5.0
neutral,as the title states this headset worked at first after about two three months the sound became quieter four months later no longer have sound on the left side oh well not bad for about ,35,2.0
positive,these headphones are amazing and love them so much the noise cancelation is okay it works but its not as perfect as thought it would be they are comfortable but they do not connect to my android phone the headphones only light up when you plug them into the spot where plug in my mouse so was bit disappointed about that but other than that they are super comfortable and love them so much ,74,5.0
positive,aint the best but aint the worst either ,8,3.0
positive,it not quite as good as some of the high end headsets for comfort and noise canceling but it does good job at everything else definitely good value for the money spent ,32,5.0
positive,now don really use my headset to talk to people in game so let me preface this review by saying have no idea how that works but it perfect for what need it for which is to have headphones in while game the sound quality is absolutely beautiful and it goes perfect with my purple ps controller,57,5.0
positive,liked everything great for fortnite ,5,5.0
neutral,i thought would give these try but the mic is difficult because have to yell for it to pick up my voice or have to mute then unmute for mic to work because randomly it stops then it so tight on my head got headache in min it was so uncomfortable to wear my cheap turtle beach ones are better just don recommend ,63,1.0
neutral,the recipient liked it,4,5.0
positive,feel little light and cheap but really ao far id say fair price for fair quality wasn expecting bose or sure but they work for casual gaming or looking like little gamer kid in work meetings haha ,37,4.0
positive,given as gift and they love it ,7,5.0
neutral,this headset is connected to my controller and use it to play games there is mic on off switch on the headset which use to mute and unmute myself when necessary now that switch does nothing no matter what position the switch is in the mic doesn work also randomly and often there will be bunch of crackling and humming sounds that is heard by all players online at the moment coming from me this happens even with the microphone not working headphones sound quality is nice but mic needs some work ,92,3.0
positive,hubby got this as bithday gift as an avid gamer he fell in love with it the mic was great and canceled all of the background noise including our month old crying ,32,5.0
neutral,excelente,1,5.0
positive,my boyfriend bought these for gaming and he likes them the only thing he has said is that it feels like it squeezing his ears maybe they re little tight but other than that he loves them he literally wears them for hours sometimes so don think the ear thing is that serious ,53,4.0
positive,these headphones are really comfortable other headsets that ve purchased sometimes have hurt my head can wear these for hours and can even feel them on my head the battery is amazing and they charge really fast and stay charged for long period of time highly recommend these if you are looking for comfort ,54,5.0
neutral,not the best headphones they re good cheap ones but the sound on one side did go out eventually you get what you pay for guess ,26,2.0
positive,the sound quality is good for the price but it is not very comfortable headset all of my freinds were always telling me to get new mic and finally understood why after hearing myself on the mic it so loud with the most annoying echo have to hook up separate mic if want to play games with freinds and the headset just isn even that comfortable with the mic turn off option mot even working half the time it mostly what you expect for the price but ve gotten headsets as good for the same price so do not recommend honestly have no idea why this headset is so recommended it really isn that great at all ,117,2.0
positive,love these headphones perfect for pc gaming and even console gaming great sound long cord and light weight highly recommend ,20,5.0
neutral,the cushion material is very uncomfortable after few minutes of wear it feels like your ears get hot quickly it seems it would have been easy to cover foam ear piece with more breathable material sound quality is great and the microphone seems to be perfect but sound quality means absolutely nothing if it is too uncomfortable to wear ,59,1.0
neutral,two thumbs up,3,5.0
neutral,glad to see im not the only one had the headset for about months and my mic just stopped working ,20,5.0
neutral,gaming,1,5.0
negative,i missed the return window by two days and the product which was gift ended up being damaged very disappointed and stuck with damaged item the microphone did not work do not get this item ,35,1.0
neutral,had these for around months when the right side speaker stopped working,12,2.0
neutral,not good at all,4,1.0
neutral,product does not last long ,5,1.0
neutral,off and on button stop working and the audio just quit only had couple months made for kid not adult ears are to small,24,1.0
positive,work great my voice can be thoroughly heard throughout the lobby ,11,4.0
neutral,looks good however whoever designed the wiring needs to fix it spliter is short to have usb plugged into rear of ps to use lights ,25,3.0
negative,very heavy static mic lags terribly unable to use in this case you get what you pay for definitely didn work ,21,1.0
negative,they are good but hate that have to have both usb and aux connected ,14,4.0
negative,i got this multiple times it is terrible headset and hate it,12,1.0
neutral,he likes them,3,5.0
neutral,literally did not work pure garbage,6,1.0
neutral,two stars because the ear cuffs are soft volume key doesn do much at all for the volume literally played audio through my projector because couldn get any games sound loud enough on the headset ,35,5.0
neutral,bought for my son he is not easy on them but so far they are keeping up,17,1.0
neutral,this worked one time and then didn piece of crap,10,5.0
neutral,poorly made,2,4.0
positive,i have used these headphones for multiple years am power user say remote worker with hours of meetings every day still can believe that they are so good for such an amazing price the cord is super long during meetings can get up and walk around noise cancellation is amazingly good they are comfortable they have volume control and mute control on the headphones themselves what more could you possibly want hope they sell these forever ,76,3.0
neutral,i use this for my xbox partychat never had issue in the past and ve gotten the same one from the same person but the one got recently seems to be little staticky so it constantly in your ears and in somebody else ears other than that they re okay just static gaming,53,5.0
neutral,this is good for its price but if you want quality look for some higher costing ones ,17,5.0
positive,absolutely love this sign ,4,5.0
positive,my first gaming headphones and their great noise cancellation is little light but audio works well ,16,5.0
neutral,my son goes through headphones quickly not certain what he does to them these are holding up well to the abuses of kid they have good noise cancelling because he can hear me when try to talk to him the short fixed boom is wired well and seems to be holding up ,52,5.0
positive,my son picked this out and loves it it works well with our playstation ,14,1.0
positive,my son absolutely loves them would definitely buy them again ,10,5.0
negative,awful sound quality mic sounds worse then international phone call and they feel extremely uncomfortable and stuff returned immediately ,19,5.0
neutral,games,1,5.0
positive,they are comfortable was playing with my friend and he could tell the difference from my old ones but if you want to have the light on you have to plug it up to your console or the wall,39,5.0
positive,my grandson is and blocks us all out now lol he loves playing with his cousins and uncle in indiana there great gaming headset for him thank you ,28,1.0
positive,these and the other chinese brand that are exactly the same are pretty good for the price have owned andnthisnis my th pair like anything else the cable does eventually good bad at the plug end however every set has lasted me over year think the shortest time frame was about year and half and that is using them basically every day for hours on end sound is not broadcast quality by any means but it not terrible either have never had any complaints from anyone saying they sound bad or hard to understand or hear ,96,1.0
neutral,constant thumping would personally burn or smash,7,4.0
negative,one night your headphones break and you check amazon for new pair of cheap headphones you may stumble across pair of nice looking headphones which are only and whopping discount trust me there is reason these nightmare bengoo are more than half off you may think these headphones look legit but once you plug them into your controller all hell breaks loose not only will the legendary bengoos lodge out of your controller about times per minute if you are ever in gaming party want to say good luck to the other soldiers in that chat they may think you just bought new pair of nice headphones but little do they know they are about to enter the midst of modern war fare multiplayer lobby the sound everyone hears when you pop on the bengoos mirror the sound of precision air strike happening in the mic one would assume you are in the middle of war if you are ever thinking of acquiring pair of bengoo headphones make sure you don have any friends because you will lose them very quickly when you destroy their ears in game chat am warning you now once you acquire bengoo the rest is on you good sir ,204,5.0
positive,i use these when playing xbox online very good sound quality ,11,4.0
positive,bought for my niece for my birthday she loved it,10,4.0
positive,i ve had mine for years now and the outer skin on the earmuffs is now peeling off they still sound great for how much they cost but told the mic doesn sound very good ve since switched to another mic but still use this headset and will continue to do so until the earmuffs completely fall apart ,58,2.0
positive,i don know about the quality because don use it but it was used by an year old and his year old brother for many months and has not broken yet so know it sturdy ,35,1.0
neutral,these noise canceling headphones do not have hardware and software that is actually known as noise canceling in them it merely refers to the fact that the headphones go over your ears and do minimal job of blocking outside noise these headphones do play noise and it does have microphone but if you re looking for something that has actual noise canceling tech in it look elsewhere ,67,5.0
neutral,didn work when first bought it and did even bother with the refund don waste your time go to best buy ,21,3.0
positive,love these first timer with this brand and am very happy with the sound quality and comfort of this headset cord is very long for my use on ps but prob very helpful for pc users,36,5.0
neutral,cant hear that well doesnt light up as stated in ad ,11,4.0
positive, for the price it really amazing it just doesn light up how thought it would connected via just the headphone jack but overall it great want to get pink one as well,32,1.0
neutral,you get what you get for its price,8,2.0
neutral,wires are exposed and the headset doesn work unfortunately the box was thrown out so cannot return it ,18,3.0
positive,the thumbnail makes this look like it is class headset and to it credit the sound quality is better than any set of earbuds or headphones that have ever used however the build quality is very poor it feels cheap the plastic feels like something that would be purchased in dollar store purchased something that looked similar on here about year ago and it surprised me in the complete opposite way leading me to believe that you do not need big brand name or tons of positive reviews to get good decent product but guess lightning doesn always strike twice kept these since it didn seem worth the hassle in returning them and it is still good to have backup set especially one that don care about but if had choice to purchase different pair would and am advising you to do the same ,144,1.0
positive,headphones were great for my son the ear cushions were comfortable and overall the headphones fit great the other ones he had started to be too small for him he loved the lights and to be able to mute the mic from the headphones on the downside they only lasted him months at first the mic kept going in and out them the sound started acting up now have to get replacement at least these headphones didn physically fall apart like others have ,83,5.0
neutral,they didn work,3,1.0
positive,these are exactly what was looking for and got then half off as well would definitely recommend have seen that people were having issues with the mic on nintendo switch but it works for me it works for my pc nintendo switch and even my phone the price is cheap but the quality is high they are also very comfortable hate using headphones but these gaming headphones are great for just about everything stars hands down ,76,4.0
positive,got this as birthday present sounds quality was ok but the max sound is not very high could also never get the mic to work even after about an hour troubleshooting would not recommend to other buyers spend few more bucks for something better quality if you plan to game often ,51,2.0
neutral,really cool setup only drawback is you have to order usb adapter separate to use the light function on ps ,20,4.0
neutral,was not pc compatible,4,4.0
positive,i bought one of these for my son to replace the old broken one he had after getting this setup tried them and was pretty impressed with the sound quality so ordered another one honestly for the price it exceeds my expectation it works and the bass is solid buy it ,51,1.0
positive,decent headphones my sons both have ordered pair and while they generally work pretty well they have had few hangups with them while playing games sometimes they have to be plugged and unplugged couple times before the sound works and sometimes it just doesn seem to want to work at all and yes the volume is up but overall they work about of the time and they were pretty cheap so ,71,1.0
negative,the headphones themselves are okay but the microphone is horrible it not flexible or adjustable in any way so you can actually get close enough to it to sound better than muffled to anyone else in voice chat it sounds like you re speaking through wad of cotton or from another room have no idea how this has gotten so many five star reviews when the microphone is so so bad ,71,1.0
neutral,for some reason this headset would not get recognized by my pc despite the product saying it is pc friendly very disappointed and pcers cautioned ,25,4.0
positive,i use this headset for my ps and the microphone doesn work unfortunately my friends can barely hear my voice if not at all ve noticed the sound quality is very low as well even in high volume it doesn light up unless plugged into computer and when plugged into my laptop it doesn connect pray it ll get better soon ,61,4.0
positive,mine came in the wrong color but regardless they are still pretty good headphones guess you just have to talk loud into them kinda,24,3.0
neutral,they last about year,4,3.0
neutral,my year old didn care for them mic was to short sound quality was subpar,15,5.0
neutral,this mic is great for gaming but bad for chatting,10,5.0
positive,got these for my nephew and he soo happy the color is vibrant and we love that we can hear his game lol,23,5.0
positive,perfect for child for gaming and sound quality great price,10,4.0
neutral,the reliability of the headphones working is an issue they were used for gaming ,14,3.0
positive,make sure you keep an eye on kiddos with these headphones overall they are great in sound and support,19,1.0
positive,there reason these headphones are super cheap because they are it comes with usb and mm plugs so you ve got an overabundance of wires to deal with right off the bat the mic doesn go any lower than the image shows so find myself yelling into the mic to be heard by my team and they tell me the sound quality of the mic isn that good when replace these ll spend more money on higher quality set ,79,3.0
neutral,cheap quality broke within first month of light use,9,5.0
neutral,nice product but it works on everything except for an xbox one which is what have in order to use it with the xbox one it requires adapter which was not mentioned in the description,35,5.0
positive,very comfortable and very good for noise cancelation,8,2.0
neutral,thank you ,2,2.0
positive,the sound quality and comfort of the headphones were fine but despite all the options available to me my friends couldn hear me when using the mic ,27,1.0
positive,when you speak the mic sounded like was under water wasn clear if your not getting this item for mic recommend it because the hearing aspect of it is great can hear everything it just the mic is poor,39,5.0
positive,they look awsome and worked great for month thats it wish they had kept working because liked the look of it it was present bought for my husband,28,3.0
positive,the game sound and chat sound great fits alittle tight but it might just be that have big head definitely love this more than the dollar xbox headset got at walmart ,31,4.0
negative,i bought this for my year old son now he not the most careful but these things broke within month would not recommend for kids but if you treat them right now you shouldn have problem ,36,1.0
neutral,can be little louder,4,2.0
neutral,sound reflects lot don be fooled by the image,9,1.0
neutral,chord way to long spit part for lights doesn fit into series controller so its just useless kinda low volume mic is ok,23,3.0
positive,this is the second time bought this headset and it has short in the cord won buy it again ,19,3.0
neutral,my son love them unfortunately they stopped working after only month ,11,2.0
negative,overall decent headset for the price the sound is pretty average but the microphone is pretty horrible if you plan on using it for meetings or discord calls buy different headset because you re going to have lot of trouble with this one ,43,1.0
negative,this headset is so bad when plug it in it doesn work at all sometime it works for sec then shuts down,22,1.0
neutral,sound quality was okay when they worked the kept cutting in and out guess it back to the cheap walmart ones,21,3.0
positive,just not impressed at all these are supposed to be almost head phones not on sale but they definitely are not no base and could hear everything that was going on around me am returning them ,36,5.0
neutral, noise cancelation sound quality were fair ,6,5.0
neutral,good quality,2,5.0
positive,i bought this for gaming my dad said it will be total trash but he let me buy it it came pretty quick plugged it up to my ps controller and played some destiny the sound was stellar then plugged it to my brother pc and played some minecraft also good the only problem have with it is if you don have portable charger you can really use the lights unless you play pc lot on the back there is only one color light green the mic quality is really good compared to an ipad mic ve had it for few months really sturdy great for music great for gaming great for anything the noise canceling is not good but for say it epic ,124,5.0
positive,used it to video chat during online games works great,10,1.0
neutral,good for the money,4,3.0
neutral,bought it plugged it in sound comes through if the cord is in right spot but the mic doesn work no matter what do they feel flimsy to ,28,4.0
neutral,everyone on line is telling me sound muted and ve never had that problem before as if the mic is covered but this set doesn have short so make do,30,1.0
positive,doesn do anything particularly well but overall it does everything it supposed to do be good for casual gamers,19,5.0
neutral,the sound only comes through on one side and it not very loud,13,5.0
neutral,n a,2,1.0
positive,my grand picked this out and it was just what he wantedit shipped quicklyit was just what he wanted and it works great,23,5.0
negative,bought them for my son they broke within year he could no longer hear audio waste of money,18,1.0
positive,noise cancellation is amazing ,4,2.0
positive,i use these for playing wow and they are comfortable doing hour raid sound great and love the lighted feature works great so my wife doesnt hear all the chatter ,30,4.0
positive,the sound is really impressive on this headset and like the sturdy mic rather than bendy one you can really complain for the price but the mic is mid it isn like razer mic duh but it picks up your voice just find with minimal background noise it comparable to my logitech webcam mic hope this helps ,57,5.0
neutral,box and packaging was great no physical damage to the head set but it doesn work took it out of the box to plug in and use and never even small noise was able to be heard smh they literally sold me broken product as if it was new and in perfect condition,53,5.0
neutral,the headphones are pretty and worked well in the beginning but now there echo don know why and what happened but the suck now ,24,3.0
negative,sound quality is not that great don be fooled it cheap plastic is fragile mic broke off ,17,1.0
neutral,wish they would get louder noise cancellation not very good ,10,1.0
positive,i had it for almost years and believe it was about bucks at the time have bad luck with headphones and cords this thing was godsend it may be cheap but what got was hours upon hours for gaming or just talking to friends ,44,1.0
neutral,only one side works,4,2.0
negative,the freaking thing broke before could even use it was out of town for few weeks so by the time noticed it the return date had expired ,27,1.0
neutral,it worth the frustration if was you just get different one,11,1.0
positive,if you have normal size ears they won fit to small if you have normal size head they won fit to big and hang down past ears ,27,1.0
positive,the headline says it all these sound great and have pretty good noise cancellation but they are very uncomfortable could only wear them for short amount of time before reverting back to my old headphones ended up throwing them away because won use them ,44,1.0
neutral,this head so it was not that company when first got it well the texture of it feels nice it seems like it doesn fit my head right this isn that tight on the ears doesn seem noise canceling another thing noticed while using this for gaming is if there are sounds one way you will hear it on all sides with no direction very hard to use and play competitively second issue have found with this headset is that it is very bad at picking up noise and have found myself yelling trying to talk to my teammates with them still barely being able to hear me returned it and do not recommend this headset ,116,5.0
neutral,got in and the mic doesn work ,7,1.0
negative,the microphone doesn work and the headphone quality is very poor not loud ,13,5.0
negative,my fianc got me this as birthday gift and of course now just outside of the return window my mic doesn work so no one can hear me when we playing together and the headset doesn light up either very disappointed as now have headset that serves no purpose to me and can return ,54,3.0
positive,excellent quality for the price,5,1.0
neutral,ive had it for less then hours and its already broken like the product and they feel nice on my ears but it is problem that this happened and hopefully this wont happen as often,35,3.0
positive,worked great ,2,2.0
neutral,i can hear everything even when my game is on loud do not buy for noise cancelling rated stars for false advertising,22,4.0
neutral,doesn hook up to my xbox don say that something can connect to something if it doesn that false advertisement ,20,5.0
negative,it viable headset for the price do not expect the best sound quality,13,4.0
negative,the headset itself is pretty but it big on my head without the ability to adjust the lights on mine don turn on no matter what do the sound quality isn bad it just isn loud at all even at the highest setting still use them for horror games but if you like your games loud wouldn recommend this headset ,60,4.0
neutral,only complaint is they re slightly unconfirmed uncomfortable and doesn cover the whole ear especially when you swear bit but with every penny,23,1.0
positive,i used these for my xbox one so had to buy and adapter as well as some kind of power source power bank to power the led lights but other than that they re soooo cute ,36,1.0
neutral,sound on the inside of the headset is bit buggy and low sometimes,13,2.0
positive,great price onlycomplaint is cord gets tangled lot,8,5.0
neutral,i was enjoying these headphones although they had some odd features like the dual cable that is excessively long the sound quality was pretty great for the price while it lasted but they made odd cracks and pops from time to time maybe from whatever issue caused them to stop working either way am not impressed and even if were to get another pair of headphones from this brand would not try anymore at this price point ,77,1.0
negative,microphone is bad build quality is horrible feels very cheap like you could purchase at below ,16,5.0
neutral,easy to set up the ear pieces are soft and supple up and running in literally minutes the sound quality is seriously lacking horrible sound and absolutely nothing could do to fix it ,33,5.0
neutral,cool works ,2,1.0
neutral,cheap,1,4.0
negative,bad sound,2,1.0
positive,got this set for my son who has been using it for school work chatting with friends and gaming on his computer we have been very happy with the headset it has worked flawlessly with no issues whatsoever sound quality is great and the headset has served its various purposes very well so far would definitely recommend ,57,2.0
neutral,after two months had lost my mic and now the wire has become disconnected from the headset did say just two months couldn believe it because they had decent reviews ,30,5.0
neutral,the sound quality both playback and recording is fine however find the earmuff portion of the headset to be bit too small as it does not fit around my entire ear and don have particularly large ears afaik this probably wouldn be huge issue for most people but if you have earrings it might be bit uncomfortable ,57,1.0
neutral,had an issue they sent me the wrong color first time as well as faulty headset that had audio issues they promptly handled the issue and have to say for the price point it good headset,36,1.0
negative,this product has been advertised as having led capability and it does but the lights are not bright enough that was the whole entire purpose of what had purchased this set for disappointing and considering beginning return plus the led lights engineered into this unity are barely colored purple and that is what classify as entirely weak kneed lackadaisical engineering prowess disappointing ,62,1.0
positive,this is perfect for kids just getting into gaming that aren yet mature enough to be gentle on very expensive gaming headset would purchase again ,25,2.0
neutral,broke so fast made out of plastic if you dropped it on your bed it could ve broke it antique at this point do not buy this please at all costs ,31,1.0
neutral,the cord is way too long it and it gets tangled up because it is so long and sometimes it cuts out so can only hear in one ear and have to fiddle with the cord to try and fix it the mic cancels most noise but the headset does not cancel any noise and since have fan on can hear it with my headset on and it gets annoying while trying to game ,74,3.0
negative,not good at all but did pay cheap for it uncomfortable sound is not that good and short mic wouldn buy again ,22,4.0
positive,bought for gaming took great care of them ans out them up everyday once he was finished days after the day return window closed they no longer work,28,1.0
neutral,everyone says sound far away or in tunnel,8,1.0
positive,noise canceling is okay heard from friends that the sound quality is kind of bad but for kid teen or if it first headset it good for the price ,29,3.0
neutral,it is very good in sound quality noise cancellation,9,2.0
neutral,this does not work with my ps will be returning ,10,5.0
